"senator_name","State","description","amount","Total Expenses","Number of Expenses","St.Abrv","Party"
"DAVID PERDUE","Georgia","SCHEDULER",61499.92,1179522.73,329,"GA","R"
"DAVID PERDUE","Georgia","SENATOR TRANSPORTATION",15578.63,1179522.73,329,"GA","R"
"DAVID PERDUE","Georgia","ASSISTANTS",134508.11,1179522.73,329,"GA","R"
"DAVID PERDUE","Georgia","CERTIFIED PURCHASED EQUIPMENT",429.95,1179522.73,329,"GA","R"
"DAVID PERDUE","Georgia","CHIEF OF STAFF",84729.48,1179522.73,329,"GA","R"
"DAVID PERDUE","Georgia","PRESS SECRETARIES",28833.33,1179522.73,329,"GA","R"
"DAVID VITTER","Louisiana","ADMINISTRATIVE PERSONNEL",28333.26,1079213.67,382,"LA","R"
"DAVID VITTER","Louisiana","REGIONAL REPRESENTATIVE",91547.07,1079213.67,382,"LA","R"
"DAVID VITTER","Louisiana","ADVISORS",3997.06,1079213.67,382,"LA","R"
"DAVID VITTER","Louisiana","NORTHEAST REGIONAL REPRESENTATIVE",32499.92,1079213.67,382,"LA","R"
"DAVID VITTER","Louisiana","ASSISTANTS",186841.37,1079213.67,382,"LA","R"
"DAVID VITTER","Louisiana","FEES AND OTHER CHARGES",536.8,1079213.67,382,"LA","R"
"DAVID VITTER","Louisiana","CENTRAL LOUISIANA REGIONAL REPRESENTATIVE",19999.92,1079213.67,382,"LA","R"
"DAVID VITTER","Louisiana","GRANTS COORDINATOR",24499.92,1079213.67,382,"LA","R"
"DAVID VITTER","Louisiana","STAFF TRANSPORTATION",27118.08,1079213.67,382,"LA","R"
"DAVID VITTER","Louisiana","CHIEF OF STAFF",24166.64,1079213.67,382,"LA","R"
"DAVID VITTER","Louisiana","COMMUNITY LIAISON",138791.42,1079213.67,382,"LA","R"
"DAVID VITTER","Louisiana","CONSTITUENT PERSONNEL",25500,1079213.67,382,"LA","R"
"DAVID VITTER","Louisiana","COUNSEL",7083.31,1079213.67,382,"LA","R"
"DAVID VITTER","Louisiana","LEGISLATIVE CORRESPONDENT",24000,1079213.67,382,"LA","R"
"DAVID VITTER","Louisiana","MAIL CLERK",23500,1079213.67,382,"LA","R"
"DAVID VITTER","Louisiana","DIRECTORS",275763.66,1079213.67,382,"LA","R"
"DAVID VITTER","Louisiana","SCHEDULER",21999.99,1079213.67,382,"LA","R"
"DAVID VITTER","Louisiana","SENIOR PERSONNEL",54999.92,1079213.67,382,"LA","R"
"DAVID VITTER","Louisiana","PER DIEM",7759.24,1079213.67,382,"LA","R"
"DAVID VITTER","Louisiana","INCIDENTALS",35.78,1079213.67,382,"LA","R"
"DAVID VITTER","Louisiana","PHOTO STUDIO CERTIFICATION",974,1079213.67,382,"LA","R"
"DAVID VITTER","Louisiana","PRESS SECRETARIES",20319.38,1079213.67,382,"LA","R"
"DAVID VITTER","Louisiana","SENATOR TRANSPORTATION",13917.97,1079213.67,382,"LA","R"
"DAVID VITTER","Louisiana","SYSTEM ADMINISTRATOR",24999.96,1079213.67,382,"LA","R"
"DAVID VITTER","Louisiana","RECORDING STUDIO CERTIFICATION",29,1079213.67,382,"LA","R"
"DEAN HELLER","Nevada","DIRECTORS",288083.03,1126896.12,185,"NV","R"
"DEAN HELLER","Nevada","EASTERN NEVADA REPRESENTATIVE",18000,1126896.12,185,"NV","R"
"DEAN HELLER","Nevada","OTHER MISCELLANEOUS SERVICES",1544.3,1126896.12,185,"NV","R"
"DEAN HELLER","Nevada","ASSISTANTS",282399.92,1126896.12,185,"NV","R"
"DEAN HELLER","Nevada","HISPANIC OUTREACH/REGIONAL REPRESENTATIVE",21499.92,1126896.12,185,"NV","R"
"DEAN HELLER","Nevada","INCIDENTALS",536,1126896.12,185,"NV","R"
"DEAN HELLER","Nevada","DEPUTY SCHEDULER",18000,1126896.12,185,"NV","R"
"DEAN HELLER","Nevada","REGIONAL REPRESENTATIVE",227749.48,1126896.12,185,"NV","R"
"DEAN HELLER","Nevada","LEGISLATIVE CORRESPONDENT",57249.96,1126896.12,185,"NV","R"
"DEAN HELLER","Nevada","SENATOR TRANSPORTATION",15657.86,1126896.12,185,"NV","R"
"DEAN HELLER","Nevada","EQUIPMENT/VEHICLE MAINTENANCE & REPAIR",834.58,1126896.12,185,"NV","R"
"DEAN HELLER","Nevada","SENIOR PERSONNEL",23999.92,1126896.12,185,"NV","R"
"DEAN HELLER","Nevada","HISPANIC OUTREACH COORDINATOR/REGIONAL REP",15499.92,1126896.12,185,"NV","R"
"DEAN HELLER","Nevada","PER DIEM",13794.56,1126896.12,185,"NV","R"
"DEAN HELLER","Nevada","STAFF TRANSPORTATION",30436.29,1126896.12,185,"NV","R"
"DEAN HELLER","Nevada","PHOTO STUDIO CERTIFICATION",20.9,1126896.12,185,"NV","R"
"DEAN HELLER","Nevada","CHIEF OF STAFF",84729.48,1126896.12,185,"NV","R"
"DEAN HELLER","Nevada","TECHNICAL SUPPORT",360,1126896.12,185,"NV","R"
"DEAN HELLER","Nevada","LEGISLATIVE AIDE",26500,1126896.12,185,"NV","R"
"DEB FISCHER","Nebraska","EXT DEV SOFTWARE (EXPENDABLE)",146.63,1408806.41,397,"NE","R"
"DEB FISCHER","Nebraska","EDITOR/SPEECHWRITER",28999.92,1408806.41,397,"NE","R"
"DEB FISCHER","Nebraska","ADMINISTRATIVE PERSONNEL",40888,1408806.41,397,"NE","R"
"DEB FISCHER","Nebraska","INCIDENTALS",164.57,1408806.41,397,"NE","R"
"DEB FISCHER","Nebraska","ASSISTANTS",382383.64,1408806.41,397,"NE","R"
"DEB FISCHER","Nebraska","INTERNS",19984.01,1408806.41,397,"NE","R"
"DEB FISCHER","Nebraska","MAIL ROOM MANAGER",18166.61,1408806.41,397,"NE","R"
"DEB FISCHER","Nebraska","DEPUTY SCHEDULER",19500,1408806.41,397,"NE","R"
"DEB FISCHER","Nebraska","OTHER MISCELLANEOUS SERVICES",2785,1408806.41,397,"NE","R"
"DEB FISCHER","Nebraska","DIRECTORS",316183.32,1408806.41,397,"NE","R"
"DEB FISCHER","Nebraska","OUTREACH REPRESENTATIVE",14760,1408806.41,397,"NE","R"
"DEB FISCHER","Nebraska","NEBRASKA SCHEDULER",32706.44,1408806.41,397,"NE","R"
"DEB FISCHER","Nebraska","PER DIEM",14240.15,1408806.41,397,"NE","R"
"DEB FISCHER","Nebraska","EXTERN",3881.32,1408806.41,397,"NE","R"
"DEB FISCHER","Nebraska","PHOTO STUDIO CERTIFICATION",179.35,1408806.41,397,"NE","R"
"DEB FISCHER","Nebraska","LEGISLATIVE AIDE",42928.5,1408806.41,397,"NE","R"
"DEB FISCHER","Nebraska","PRESS SECRETARIES",31500,1408806.41,397,"NE","R"
"DEB FISCHER","Nebraska","LEGISLATIVE CORRESPONDENT",61496.49,1408806.41,397,"NE","R"
"DEB FISCHER","Nebraska","ADVISORS",2683.33,1408806.41,397,"NE","R"
"DEB FISCHER","Nebraska","PURCHASED EQUIPMENT (EXPENDABLE)",30488.07,1408806.41,397,"NE","R"
"DEB FISCHER","Nebraska","PURCHASED SOFTWARE (EXPENDABLE)",4375,1408806.41,397,"NE","R"
"DEB FISCHER","Nebraska","RECORDING STUDIO CERTIFICATION",113.5,1408806.41,397,"NE","R"
"DEB FISCHER","Nebraska","CERTIFIED PURCHASED EQUIPMENT",1026.61,1408806.41,397,"NE","R"
"DEB FISCHER","Nebraska","SENATOR TRANSPORTATION",6302.25,1408806.41,397,"NE","R"
"DEB FISCHER","Nebraska","CHIEF OF STAFF",83700,1408806.41,397,"NE","R"
"DEB FISCHER","Nebraska","STAFF TRANSPORTATION",27235.63,1408806.41,397,"NE","R"
"DEB FISCHER","Nebraska","CONSTITUENT PERSONNEL",174264.72,1408806.41,397,"NE","R"
"DEB FISCHER","Nebraska","CORRESPONDENCE MANAGER",33513.4,1408806.41,397,"NE","R"
"DEB FISCHER","Nebraska","TRAINING/CONFERENCE/REGISTRATION FEES",210,1408806.41,397,"NE","R"
"DEB FISCHER","Nebraska","DC SYSTEMS ADMINISTRATOR",13999.95,1408806.41,397,"NE","R"
"DEBBIE A. STABENOW","Michigan","ADMINISTRATIVE PERSONNEL",28937.46,1757543.13,340,"MI","D"
"DEBBIE A. STABENOW","Michigan","ASSISTANTS",379872.37,1757543.13,340,"MI","D"
"DEBBIE A. STABENOW","Michigan","SENATOR TRANSPORTATION",12895.67,1757543.13,340,"MI","D"
"DEBBIE A. STABENOW","Michigan","CHIEF OF STAFF",59729.4,1757543.13,340,"MI","D"
"DEBBIE A. STABENOW","Michigan","SENIOR PERSONNEL",60111.03,1757543.13,340,"MI","D"
"DEBBIE A. STABENOW","Michigan","CONSTITUENT PERSONNEL",186649.88,1757543.13,340,"MI","D"
"DEBBIE A. STABENOW","Michigan","STAFF TRANSPORTATION",41811.27,1757543.13,340,"MI","D"
"DEBBIE A. STABENOW","Michigan","COUNSEL",89499.92,1757543.13,340,"MI","D"
"DEBBIE A. STABENOW","Michigan","STATE SCHEDULER",43996.17,1757543.13,340,"MI","D"
"DEBBIE A. STABENOW","Michigan","RECORDING STUDIO CERTIFICATION",473,1757543.13,340,"MI","D"
"DEBBIE A. STABENOW","Michigan","DEPUTY STATE SCHEDULER",22499.96,1757543.13,340,"MI","D"
"DEBBIE A. STABENOW","Michigan","DIRECTORS",318476.28,1757543.13,340,"MI","D"
"DEBBIE A. STABENOW","Michigan","REGIONAL REPRESENTATIVE",25999.96,1757543.13,340,"MI","D"
"DEBBIE A. STABENOW","Michigan","PER DIEM",18750.1,1757543.13,340,"MI","D"
"DEBBIE A. STABENOW","Michigan","SCHEDULER",57499.92,1757543.13,340,"MI","D"
"DEBBIE A. STABENOW","Michigan","PHOTO STUDIO CERTIFICATION",93.1,1757543.13,340,"MI","D"
"DEBBIE A. STABENOW","Michigan","INCIDENTALS",1105.14,1757543.13,340,"MI","D"
"DEBBIE A. STABENOW","Michigan","PRESS SECRETARIES",88474.88,1757543.13,340,"MI","D"
"DEBBIE A. STABENOW","Michigan","LEGISLATIVE AIDE",98474.9,1757543.13,340,"MI","D"
"DEBBIE A. STABENOW","Michigan","PURCHASED EQUIPMENT (EXPENDABLE)",754,1757543.13,340,"MI","D"
"DEBBIE A. STABENOW","Michigan","REGIONAL MANAGER",203399.72,1757543.13,340,"MI","D"
"DEBBIE A. STABENOW","Michigan","PURCHASED SOFTWARE (EXPENDABLE)",1044,1757543.13,340,"MI","D"
"DEBBIE A. STABENOW","Michigan","TRAINING/CONFERENCE/REGISTRATION FEES",16995,1757543.13,340,"MI","D"
"DIANNE FEINSTEIN","California","ADMINISTRATIVE PERSONNEL",46500,2226851.24,394,"CA","D"
"DIANNE FEINSTEIN","California","RECORDING STUDIO CERTIFICATION",72.5,2226851.24,394,"CA","D"
"DIANNE FEINSTEIN","California","LEGISLATIVE AIDE",26000,2226851.24,394,"CA","D"
"DIANNE FEINSTEIN","California","SCHEDULER",39999.92,2226851.24,394,"CA","D"
"DIANNE FEINSTEIN","California","ASSISTANTS",764400.75,2226851.24,394,"CA","D"
"DIANNE FEINSTEIN","California","SENATOR TRANSPORTATION",1833,2226851.24,394,"CA","D"
"DIANNE FEINSTEIN","California","SYSTEM ADMINISTRATOR",35349.96,2226851.24,394,"CA","D"
"DIANNE FEINSTEIN","California","EXT DEV SOFTWARE (EXPENDABLE)",792,2226851.24,394,"CA","D"
"DIANNE FEINSTEIN","California","CHIEF OF STAFF",84729.48,2226851.24,394,"CA","D"
"DIANNE FEINSTEIN","California","COMPUTER OPERATOR",21210,2226851.24,394,"CA","D"
"DIANNE FEINSTEIN","California","COUNSEL",134742.9,2226851.24,394,"CA","D"
"DIANNE FEINSTEIN","California","CONSTITUENT PERSONNEL",67499.88,2226851.24,394,"CA","D"
"DIANNE FEINSTEIN","California","DEPUTY SCHEDULER",27500,2226851.24,394,"CA","D"
"DIANNE FEINSTEIN","California","INCIDENTALS",566.13,2226851.24,394,"CA","D"
"DIANNE FEINSTEIN","California","DIRECTORS",381902.68,2226851.24,394,"CA","D"
"DIANNE FEINSTEIN","California","LEGISLATIVE CORRESPONDENT",248925.88,2226851.24,394,"CA","D"
"DIANNE FEINSTEIN","California","PER DIEM",8089.9,2226851.24,394,"CA","D"
"DIANNE FEINSTEIN","California","PRESS SECRETARIES",73333.32,2226851.24,394,"CA","D"
"DIANNE FEINSTEIN","California","FEES AND OTHER CHARGES",90,2226851.24,394,"CA","D"
"DIANNE FEINSTEIN","California","PHOTO STUDIO CERTIFICATION",349.8,2226851.24,394,"CA","D"
"DIANNE FEINSTEIN","California","FIELD REPRESENTATIVE",240249.68,2226851.24,394,"CA","D"
"DIANNE FEINSTEIN","California","PURCHASED EQUIPMENT (EXPENDABLE)",970.53,2226851.24,394,"CA","D"
"DIANNE FEINSTEIN","California","STAFF TRANSPORTATION",21742.93,2226851.24,394,"CA","D"
"EDWARD MARKEY","Massachusetts","CHIEF OF STAFF",40433.05,1238823.4,54,"MA","D"
"EDWARD MARKEY","Massachusetts","DIRECTORS",534153.47,1238823.4,54,"MA","D"
"EDWARD MARKEY","Massachusetts","COUNSEL",15527.75,1238823.4,54,"MA","D"
"EDWARD MARKEY","Massachusetts","INTERNS",985.09,1238823.4,54,"MA","D"
"EDWARD MARKEY","Massachusetts","RECORDING STUDIO CERTIFICATION",271.7,1238823.4,54,"MA","D"
"EDWARD MARKEY","Massachusetts","REGIONAL REPRESENTATIVE",87499.88,1238823.4,54,"MA","D"
"EDWARD MARKEY","Massachusetts","LEGISLATIVE CORRESPONDENT",79499.88,1238823.4,54,"MA","D"
"EDWARD MARKEY","Massachusetts","SENATOR TRANSPORTATION",6931.7,1238823.4,54,"MA","D"
"EDWARD MARKEY","Massachusetts","SENIOR PERSONNEL",364911.75,1238823.4,54,"MA","D"
"EDWARD MARKEY","Massachusetts","SENATE AIDE",69749.84,1238823.4,54,"MA","D"
"EDWARD MARKEY","Massachusetts","STAFF TRANSPORTATION",4859.37,1238823.4,54,"MA","D"
"EDWARD MARKEY","Massachusetts","ASSISTANTS",20000,1238823.4,54,"MA","D"
"EDWARD MARKEY","Massachusetts","COMMUNICATIONS SPECIALIST",13999.92,1238823.4,54,"MA","D"
"ELIZABETH WARREN","Massachusetts","ADMINISTRATIVE PERSONNEL",16500,1397749.22,232,"MA","D"
"ELIZABETH WARREN","Massachusetts","ADVISORS",82610.98,1397749.22,232,"MA","D"
"ELIZABETH WARREN","Massachusetts","INTERNS",41293.96,1397749.22,232,"MA","D"
"ELIZABETH WARREN","Massachusetts","ASSISTANTS",170521.07,1397749.22,232,"MA","D"
"ELIZABETH WARREN","Massachusetts","CERTIFIED PURCHASED EQUIPMENT",400,1397749.22,232,"MA","D"
"ELIZABETH WARREN","Massachusetts","COUNSEL",106971.03,1397749.22,232,"MA","D"
"ELIZABETH WARREN","Massachusetts","CHIEF OF STAFF",144729.45,1397749.22,232,"MA","D"
"ELIZABETH WARREN","Massachusetts","PHOTO STUDIO CERTIFICATION",161.8,1397749.22,232,"MA","D"
"ELIZABETH WARREN","Massachusetts","PRESS SECRETARIES",59000,1397749.22,232,"MA","D"
"ELIZABETH WARREN","Massachusetts","INCIDENTALS",66.76,1397749.22,232,"MA","D"
"ELIZABETH WARREN","Massachusetts","PURCHASED EQUIPMENT (EXPENDABLE)",6028.49,1397749.22,232,"MA","D"
"ELIZABETH WARREN","Massachusetts","DIRECTORS",554507.03,1397749.22,232,"MA","D"
"ELIZABETH WARREN","Massachusetts","IMMIGRATION SPECIALIST",47499.92,1397749.22,232,"MA","D"
"ELIZABETH WARREN","Massachusetts","LEGISLATIVE AIDE",91708.62,1397749.22,232,"MA","D"
"ELIZABETH WARREN","Massachusetts","SENIOR PERSONNEL",44999.96,1397749.22,232,"MA","D"
"ELIZABETH WARREN","Massachusetts","SENATOR TRANSPORTATION",10171.9,1397749.22,232,"MA","D"
"ELIZABETH WARREN","Massachusetts","LEGAL FELLOW",3974.37,1397749.22,232,"MA","D"
"ELIZABETH WARREN","Massachusetts","PER DIEM",3637.58,1397749.22,232,"MA","D"
"ELIZABETH WARREN","Massachusetts","SYSTEMS ADMINISTRATOR",1458.32,1397749.22,232,"MA","D"
"ELIZABETH WARREN","Massachusetts","RECORDING STUDIO CERTIFICATION",471,1397749.22,232,"MA","D"
"ELIZABETH WARREN","Massachusetts","STAFF TRANSPORTATION",11036.98,1397749.22,232,"MA","D"
"GARY PETERS","Michigan","DEPUTY SCHEDULER",20999.96,1366531.95,318,"MI","D"
"GARY PETERS","Michigan","MID MICHIGAN REGIONAL REPRESENTATIVE",21185.8,1366531.95,318,"MI","D"
"GARY PETERS","Michigan","LEGISLATIVE CORRESPONDENT",49183.32,1366531.95,318,"MI","D"
"GARY PETERS","Michigan","REGIONAL REPRESENTATIVE",78811.58,1366531.95,318,"MI","D"
"GARY PETERS","Michigan","FEES AND OTHER CHARGES",85,1366531.95,318,"MI","D"
"GARY PETERS","Michigan","FIELD REPRESENTATIVE",16430.5,1366531.95,318,"MI","D"
"GARY PETERS","Michigan","DIRECTORS",309697.86,1366531.95,318,"MI","D"
"GARY PETERS","Michigan","INCIDENTALS",225.49,1366531.95,318,"MI","D"
"GARY PETERS","Michigan","PRESS SECRETARIES",77333.14,1366531.95,318,"MI","D"
"GARY PETERS","Michigan","LEGISLATIVE AIDE",20771.8,1366531.95,318,"MI","D"
"GARY PETERS","Michigan","PHOTO STUDIO CERTIFICATION",119.3,1366531.95,318,"MI","D"
"GARY PETERS","Michigan","MAIL MANAGER",34499.96,1366531.95,318,"MI","D"
"GARY PETERS","Michigan","MICHIGAN SCHEDULER",14700,1366531.95,318,"MI","D"
"GARY PETERS","Michigan","RECORDING STUDIO CERTIFICATION",306.45,1366531.95,318,"MI","D"
"GARY PETERS","Michigan","PURCHASED EQUIPMENT (EXPENDABLE)",1884.43,1366531.95,318,"MI","D"
"GARY PETERS","Michigan","OTHER MISCELLANEOUS SERVICES",3380,1366531.95,318,"MI","D"
"GARY PETERS","Michigan","SENATOR TRANSPORTATION",11772.58,1366531.95,318,"MI","D"
"GARY PETERS","Michigan","PER DIEM",9932.83,1366531.95,318,"MI","D"
"GARY PETERS","Michigan","SCHEDULER",50666.58,1366531.95,318,"MI","D"
"GARY PETERS","Michigan","ASSISTANTS",129810.67,1366531.95,318,"MI","D"
"GARY PETERS","Michigan","STAFF TRANSPORTATION",39139.83,1366531.95,318,"MI","D"
"GARY PETERS","Michigan","CHIEF OF STAFF",137409.76,1366531.95,318,"MI","D"
"GARY PETERS","Michigan","SOUTHEAST MICHIGAN REGIONAL REPRESENTATIVE",24949.99,1366531.95,318,"MI","D"
"GARY PETERS","Michigan","CONSTITUENT PERSONNEL",120370.85,1366531.95,318,"MI","D"
"GARY PETERS","Michigan","TRAINING/CONFERENCE/REGISTRATION FEES",550,1366531.95,318,"MI","D"
"GARY PETERS","Michigan","COUNSEL",113814.35,1366531.95,318,"MI","D"
"GARY PETERS","Michigan","SYSTEMS ADMINISTRATOR",52499.92,1366531.95,318,"MI","D"
"GARY PETERS","Michigan","OFFICE MANAGER",26000,1366531.95,318,"MI","D"
"HARRY REID","Nevada","ADVISORS",88486.05,1422423.9,346,"NV","D"
"HARRY REID","Nevada","SOUTHERN NEVADA ENERGY AND PUBLIC LANDS MANAGER",26249.95,1422423.9,346,"NV","D"
"HARRY REID","Nevada","ASSISTANTS",322674.64,1422423.9,346,"NV","D"
"HARRY REID","Nevada","CASE WORKERS",50283.27,1422423.9,346,"NV","D"
"HARRY REID","Nevada","INTERNS",9033.29,1422423.9,346,"NV","D"
"HARRY REID","Nevada","CONSTITUENT PERSONNEL",84180.37,1422423.9,346,"NV","D"
"HARRY REID","Nevada","DEPUTY REGIONAL MANAGER",29208.3,1422423.9,346,"NV","D"
"HARRY REID","Nevada","LEGISLATIVE AIDE",28524.97,1422423.9,346,"NV","D"
"HARRY REID","Nevada","LEGISLATIVE AIDE AND CORRESPONDENCE MANAGER",31333.32,1422423.9,346,"NV","D"
"HARRY REID","Nevada","DIRECTORS",284456.96,1422423.9,346,"NV","D"
"HARRY REID","Nevada","LEGISLATIVE CORRESPONDENT",108479.24,1422423.9,346,"NV","D"
"HARRY REID","Nevada","NORTHERN NEVADA ENEGRY AND PUBLIC LANDS MANAGER",20599.96,1422423.9,346,"NV","D"
"HARRY REID","Nevada","FEES AND OTHER CHARGES",2415,1422423.9,346,"NV","D"
"HARRY REID","Nevada","OUTREACH COORDINATOR & REGIONAL REPRESENTATIVE",13349.98,1422423.9,346,"NV","D"
"HARRY REID","Nevada","INTERPRETING SERVICES",1350,1422423.9,346,"NV","D"
"HARRY REID","Nevada","PER DIEM",31604.58,1422423.9,346,"NV","D"
"HARRY REID","Nevada","INCIDENTALS",3357.21,1422423.9,346,"NV","D"
"HARRY REID","Nevada","PHOTO STUDIO CERTIFICATION",3144.4,1422423.9,346,"NV","D"
"HARRY REID","Nevada","REGIONAL REPRESENTATIVE",129316.56,1422423.9,346,"NV","D"
"HARRY REID","Nevada","PURCHASED EQUIPMENT (EXPENDABLE)",5295.27,1422423.9,346,"NV","D"
"HARRY REID","Nevada","RECORDING STUDIO CERTIFICATION",100,1422423.9,346,"NV","D"
"HARRY REID","Nevada","STAFF TRANSPORTATION",56877.05,1422423.9,346,"NV","D"
"HARRY REID","Nevada","SENIOR PERSONNEL",29875,1422423.9,346,"NV","D"
"HARRY REID","Nevada","PRESS SECRETARIES",23374.93,1422423.9,346,"NV","D"
"HARRY REID","Nevada","SENATOR TRANSPORTATION",2184.6,1422423.9,346,"NV","D"
"HARRY REID","Nevada","STATE SCHEDULER / OFFICE MANAGER",28500,1422423.9,346,"NV","D"
"HARRY REID","Nevada","TRAINING/CONFERENCE/REGISTRATION FEES",8169,1422423.9,346,"NV","D"
"HEIDI HEITKAMP","North Dakota","COUNSEL",45499.92,1475068.09,422,"ND","D"
"HEIDI HEITKAMP","North Dakota","DIRECTORS",363939.61,1475068.09,422,"ND","D"
"HEIDI HEITKAMP","North Dakota","INTERNS",32831.5,1475068.09,422,"ND","D"
"HEIDI HEITKAMP","North Dakota","ASSISTANTS",173796.92,1475068.09,422,"ND","D"
"HEIDI HEITKAMP","North Dakota","FIELD REPRESENTATIVE",175375.78,1475068.09,422,"ND","D"
"HEIDI HEITKAMP","North Dakota","OFFICE MANAGER",36124.86,1475068.09,422,"ND","D"
"HEIDI HEITKAMP","North Dakota","CORRESPONDENCE MANAGER",18944.38,1475068.09,422,"ND","D"
"HEIDI HEITKAMP","North Dakota","ADVISORS",40225.44,1475068.09,422,"ND","D"
"HEIDI HEITKAMP","North Dakota","LEGISLATIVE AIDE",57816.61,1475068.09,422,"ND","D"
"HEIDI HEITKAMP","North Dakota","PHOTO STUDIO CERTIFICATION",308.2,1475068.09,422,"ND","D"
"HEIDI HEITKAMP","North Dakota","INCIDENTALS",766.34,1475068.09,422,"ND","D"
"HEIDI HEITKAMP","North Dakota","MAIL MANAGER/LEGISLATIVE AIDE",8074.99,1475068.09,422,"ND","D"
"HEIDI HEITKAMP","North Dakota","FEDERAL PROJECTS COORDINATOR",33999.96,1475068.09,422,"ND","D"
"HEIDI HEITKAMP","North Dakota","PURCHASED EQUIPMENT (EXPENDABLE)",31229.97,1475068.09,422,"ND","D"
"HEIDI HEITKAMP","North Dakota","LEGISLATIVE CORRESPONDENT",62514.08,1475068.09,422,"ND","D"
"HEIDI HEITKAMP","North Dakota","PRESS SECRETARIES",52809.96,1475068.09,422,"ND","D"
"HEIDI HEITKAMP","North Dakota","SENATOR TRANSPORTATION",25553.18,1475068.09,422,"ND","D"
"HEIDI HEITKAMP","North Dakota","NEW MEDIA MANAGER",21077.86,1475068.09,422,"ND","D"
"HEIDI HEITKAMP","North Dakota","STAFF TRANSPORTATION",45458.36,1475068.09,422,"ND","D"
"HEIDI HEITKAMP","North Dakota","RECORDING STUDIO CERTIFICATION",550.8,1475068.09,422,"ND","D"
"HEIDI HEITKAMP","North Dakota","PER DIEM",20257.23,1475068.09,422,"ND","D"
"HEIDI HEITKAMP","North Dakota","STATE SCHEDULER",20900,1475068.09,422,"ND","D"
"HEIDI HEITKAMP","North Dakota","SYSTEM ADMINISTRATOR",37910.4,1475068.09,422,"ND","D"
"HEIDI HEITKAMP","North Dakota","SYSTEMS ADMINISTRATOR",47676,1475068.09,422,"ND","D"
"HEIDI HEITKAMP","North Dakota","TRAINING/CONFERENCE/REGISTRATION FEES",345,1475068.09,422,"ND","D"
"HEIDI HEITKAMP","North Dakota","CHIEF OF STAFF",90080.78,1475068.09,422,"ND","D"
"HEIDI HEITKAMP","North Dakota","WESTERN SERVICE REPRESENTATIVE",30999.96,1475068.09,422,"ND","D"
"JAMES E. RISCH","Idaho","ADMINISTRATIVE PERSONNEL",96499.88,1239572.99,343,"ID","R"
"JAMES E. RISCH","Idaho","SYSTEM ADMINISTATOR CONSULTANT",30499.92,1239572.99,343,"ID","R"
"JAMES E. RISCH","Idaho","ADVISORS",5618,1239572.99,343,"ID","R"
"JAMES E. RISCH","Idaho","ASSISTANTS",239794.22,1239572.99,343,"ID","R"
"JAMES E. RISCH","Idaho","FEES AND OTHER CHARGES",35,1239572.99,343,"ID","R"
"JAMES E. RISCH","Idaho","PURCHASED EQUIPMENT (EXPENDABLE)",299.99,1239572.99,343,"ID","R"
"JAMES E. RISCH","Idaho","INCIDENTALS",1487.22,1239572.99,343,"ID","R"
"JAMES E. RISCH","Idaho","CHIEF OF STAFF",84729.48,1239572.99,343,"ID","R"
"JAMES E. RISCH","Idaho","INTERNS",13166.62,1239572.99,343,"ID","R"
"JAMES E. RISCH","Idaho","CONSTITUENT PERSONNEL",113541.33,1239572.99,343,"ID","R"
"JAMES E. RISCH","Idaho","PHOTO STUDIO CERTIFICATION",1736.05,1239572.99,343,"ID","R"
"JAMES E. RISCH","Idaho","CORRESPONDENT SPECIALIST",22791.66,1239572.99,343,"ID","R"
"JAMES E. RISCH","Idaho","DIRECTORS",368916.29,1239572.99,343,"ID","R"
"JAMES E. RISCH","Idaho","TRAINING/CONFERENCE/REGISTRATION FEES",1380,1239572.99,343,"ID","R"
"JAMES E. RISCH","Idaho","SENIOR PERSONNEL",42133.33,1239572.99,343,"ID","R"
"JAMES E. RISCH","Idaho","STATE GRANTS COORDINATOR",7222.21,1239572.99,343,"ID","R"
"JAMES E. RISCH","Idaho","EXT DEV SOFTWARE (EXPENDABLE)",90,1239572.99,343,"ID","R"
"JAMES E. RISCH","Idaho","PER DIEM",27020,1239572.99,343,"ID","R"
"JAMES E. RISCH","Idaho","STAFF TRANSPORTATION",71531.75,1239572.99,343,"ID","R"
"JAMES E. RISCH","Idaho","SENATOR TRANSPORTATION",15580.12,1239572.99,343,"ID","R"
"JAMES E. RISCH","Idaho","PRESS SECRETARIES",45500,1239572.99,343,"ID","R"
"JAMES E. RISCH","Idaho","SPECIAL PROJECTS",49999.92,1239572.99,343,"ID","R"
"JAMES LANKFORD","Oklahoma","ADMINISTRATIVE PERSONNEL",51158.43,1404745.55,437,"OK","R"
"JAMES LANKFORD","Oklahoma","NE OKLAHOMA FIELD REPRESENTATIVE",18485.73,1404745.55,437,"OK","R"
"JAMES LANKFORD","Oklahoma","SENATOR TRANSPORTATION",12429.65,1404745.55,437,"OK","R"
"JAMES LANKFORD","Oklahoma","SYSTEMS ADMINISTRATOR",22500,1404745.55,437,"OK","R"
"JAMES LANKFORD","Oklahoma","ASSISTANTS",358624.97,1404745.55,437,"OK","R"
"JAMES LANKFORD","Oklahoma","STAFF TRANSPORTATION",61647.46,1404745.55,437,"OK","R"
"JAMES LANKFORD","Oklahoma","CHIEF OF STAFF",78243.16,1404745.55,437,"OK","R"
"JAMES LANKFORD","Oklahoma","COUNSEL",70418.26,1404745.55,437,"OK","R"
